INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
205065107,2019-11-12,02:24:00,BRONX,44,2,MULTI DWELL - PUBLIC HOUS,False,,,,18-24,M,BLACK HISPANIC,1007174.4375,239542.765625,40.82414361300005,-73.91717129999995,POINT (-73.91717129999995 40.82414361300005)
194677549,2019-03-13,21:17:00,STATEN ISLAND,122,0,,True,18-24,M,WHITE,45-64,M,WHITE,953944.125,154833.859375,40.591615742000045,-74.10912077499995,POINT (-74.10912077499995 40.591615742000045)
202578454,2019-09-18,00:30:00,MANHATTAN,28,0,,False,,,,45-64,M,BLACK,997405.8125,230838.46875,40.80027269000004,-73.95248416399994,POINT (-73.95248416399994 40.80027269000004)
197700945,2019-05-28,04:15:00,BROOKLYN,75,0,,False,,,,25-44,M,BLACK,1017588.75,180904.0,40.663161857000034,-73.87983318099998,POINT (-73.87983318099998 40.663161857000034)
205280612,2019-11-16,03:44:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,True,25-44,M,BLACK,25-44,M,BLACK,995727.5625,190315.25,40.689048942000056,-73.95861495499997,POINT (-73.95861495499997 40.68904894200006)
192545749,2019-01-19,04:00:00,QUEENS,109,0,,True,,,,25-44,M,BLACK,1030091.625,220250.328125,40.77110200100003,-73.83449918799994,POINT (-73.83449918799994 40.77110200100003)
204458416,2019-11-01,05:00:00,BRONX,44,0,MULTI DWELL - APT BUILD,False,,,,25-44,M,ASIAN / PACIFIC ISLANDER,1009312.125,246894.171875,40.84431528900007,-73.909419986,POINT (-73.90941998599999 40.844315289000065)
203676930,2019-10-12,18:02:00,MANHATTAN,28,0,,True,25-44,M,BLACK,25-44,M,BLACK,998252.9375,233407.78125,40.807323446000055,-73.94941908799996,POINT (-73.94941908799996 40.807323446000055)
203676932,2019-10-13,02:30:00,BROOKLYN,81,0,,False,,,,25-44,M,BLACK,1002882.875,192219.703125,40.69426405600007,-73.93280863699994,POINT (-73.93280863699994 40.694264056000065)
201858654,2019-09-02,04:17:00,QUEENS,102,0,,True,,,,25-44,M,WHITE HISPANIC,1034150.0,193486.0,40.69761867900007,-73.82004575599996,POINT (-73.82004575599996 40.69761867900008)
201034737,2019-08-12,19:38:00,MANHATTAN,25,0,,False,<18,M,BLACK,<18,M,BLACK,1001806.0,230242.640625,40.79862965800004,-73.93659275399993,POINT (-73.93659275399995 40.79862965800004)
200155033,2019-07-23,19:49:00,BROOKLYN,69,0,,False,18-24,M,BLACK,18-24,M,BLACK,1013937.375,169957.265625,40.63312845400003,-73.89304258599998,POINT (-73.89304258599998 40.63312845400003)
201573938,2019-08-25,00:59:00,QUEENS,110,0,,False,,,,18-24,M,BLACK,1022838.8125,208240.34375,40.73817231700008,-73.86075293099998,POINT (-73.86075293099998 40.73817231700008)
200668267,2019-08-04,03:47:00,MANHATTAN,26,0,,True,25-44,M,BLACK,25-44,M,BLACK,997306.3125,234541.984375,40.81043796900008,-73.95283634499998,POINT (-73.95283634499998 40.81043796900008)
201858653,2019-09-02,02:57:00,BROOKLYN,70,0,,True,,,,45-64,F,WHITE HISPANIC,996636.5,172210.5,40.63935418800003,-73.95537071199993,POINT (-73.95537071199993 40.63935418800003)
191949902,2019-01-05,01:50:00,BRONX,43,0,,False,,,,45-64,M,BLACK,1025519.0,242145.0,40.83121933700005,-73.85087315799996,POINT (-73.85087315799996 40.83121933700005)
203041424,2019-09-29,00:35:00,BRONX,47,2,MULTI DWELL - PUBLIC HOUS,True,25-44,M,BLACK,25-44,M,WHITE,1026854.8125,262287.34375,40.886497606000034,-73.84591809499993,POINT (-73.84591809499994 40.88649760600004)
199247701,2019-07-03,00:04:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,25-44,M,WHITE HISPANIC,999925.3125,214506.8125,40.755442491000046,-73.94342211899993,POINT (-73.94342211899993 40.75544249100005)
192978312,2019-01-31,00:15:00,MANHATTAN,33,0,,True,,,,18-24,M,BLACK HISPANIC,1000037.9375,243153.453125,40.834069554000045,-73.94294826399994,POINT (-73.94294826399994 40.83406955400005)
194226976,2019-03-02,21:30:00,BROOKLYN,75,0,,False,18-24,M,BLACK,<18,M,WHITE HISPANIC,1017036.0,183890.0,40.67135982000008,-73.88181102299995,POINT (-73.88181102299995 40.67135982000008)
