,OCCUR_DATE,BORO,0
0,2019-01-01,Bk,2
1,2019-01-01,Bx,1
2,2019-01-02,Bk,1
3,2019-01-03,Bx,1
4,2019-01-03,SI,1
5,2019-01-04,Bk,2
6,2019-01-05,Bx,1
7,2019-01-05,Q,1
8,2019-01-05,SI,1
9,2019-01-06,Bk,1
10,2019-01-06,Bx,3
11,2019-01-07,Bx,1
12,2019-01-07,Q,1
13,2019-01-08,Bk,1
14,2019-01-08,Bx,2
15,2019-01-09,Bx,1
16,2019-01-11,Bk,1
17,2019-01-11,Bx,1
18,2019-01-12,Bk,1
19,2019-01-12,Q,1
20,2019-01-13,Bk,3
21,2019-01-13,M,1
22,2019-01-13,Q,2
23,2019-01-14,Bk,4
24,2019-01-17,Bk,1
25,2019-01-17,Bx,1
26,2019-01-18,Bx,1
27,2019-01-19,Bk,1
28,2019-01-19,Bx,1
29,2019-01-19,M,2
30,2019-01-19,Q,2
31,2019-01-20,Bx,1
32,2019-01-21,Bx,1
33,2019-01-24,Bx,1
34,2019-01-25,Bk,1
35,2019-01-25,Q,1
36,2019-01-26,Bk,2
37,2019-01-27,Q,2
38,2019-01-28,Bx,2
39,2019-01-28,M,1
40,2019-01-30,M,2
41,2019-01-31,M,4
42,2019-01-31,Q,1
43,2019-02-01,M,1
44,2019-02-02,M,1
45,2019-02-02,Q,2
46,2019-02-03,Bk,1
47,2019-02-03,Q,2
48,2019-02-04,Bk,5
49,2019-02-04,M,1
50,2019-02-05,Q,1
51,2019-02-06,Bk,7
52,2019-02-08,Bx,2
53,2019-02-09,Bx,1
54,2019-02-09,M,1
55,2019-02-10,Bx,1
56,2019-02-10,M,1
57,2019-02-11,Bk,2
58,2019-02-12,Bx,1
59,2019-02-12,Q,5
60,2019-02-14,M,1
61,2019-02-16,Bx,1
62,2019-02-17,Bk,1
63,2019-02-17,Q,1
64,2019-02-18,Bx,2
65,2019-02-19,Bk,2
66,2019-02-22,Bk,2
67,2019-02-22,Bx,1
68,2019-02-22,Q,3
69,2019-02-23,Bx,1
70,2019-02-23,M,1
71,2019-02-24,Bk,2
72,2019-02-24,Bx,1
73,2019-02-25,Q,1
74,2019-02-26,Bk,1
75,2019-02-26,Q,1
76,2019-02-27,M,1
77,2019-02-28,M,1
78,2019-03-02,Bk,1
79,2019-03-02,Q,1
80,2019-03-04,Bk,1
81,2019-03-04,Bx,1
82,2019-03-05,Bk,1
83,2019-03-05,Bx,1
84,2019-03-05,Q,1
85,2019-03-06,Bk,1
86,2019-03-09,Bx,2
87,2019-03-09,M,1
88,2019-03-09,Q,3
89,2019-03-10,Bk,1
90,2019-03-10,M,1
91,2019-03-11,Bk,3
92,2019-03-12,Bk,4
93,2019-03-13,SI,1
94,2019-03-15,Bk,1
95,2019-03-15,Q,1
96,2019-03-16,Bk,1
97,2019-03-16,M,1
98,2019-03-16,Q,1
99,2019-03-17,Bk,1
100,2019-03-17,Bx,1
101,2019-03-17,M,1
102,2019-03-18,M,4
103,2019-03-19,Bk,2
104,2019-03-20,Q,1
105,2019-03-21,Bk,2
106,2019-03-21,Bx,3
107,2019-03-22,Bk,1
108,2019-03-22,Bx,3
109,2019-03-23,Bk,1
110,2019-03-23,Bx,1
111,2019-03-23,Q,1
112,2019-03-24,Bk,1
113,2019-03-25,Bx,1
114,2019-03-26,Bk,1
115,2019-03-27,M,1
116,2019-03-28,Q,1
117,2019-03-30,Bk,3
118,2019-03-30,Q,2
119,2019-03-31,Bk,3
120,2019-03-31,Bx,1
121,2019-04-01,Bx,1
122,2019-04-03,Bx,2
123,2019-04-04,Bk,1
124,2019-04-04,Q,1
125,2019-04-06,Bk,1
126,2019-04-06,Bx,1
127,2019-04-07,Bk,1
128,2019-04-07,Bx,1
129,2019-04-07,M,1
130,2019-04-07,Q,3
131,2019-04-08,Bk,4
132,2019-04-08,Q,1
133,2019-04-08,SI,1
134,2019-04-09,Bk,1
135,2019-04-09,Q,1
136,2019-04-10,Bk,1
137,2019-04-10,Bx,1
138,2019-04-11,M,1
