,date,borough,entries
0,2019-01-01,Bk,532469.0
1,2019-01-01,Bx,172360.0
2,2019-01-01,M,1299404.0
3,2019-01-01,Q,318319.0
4,2019-01-01,SI,3701.0
5,2019-01-02,Bk,1074453.0
6,2019-01-02,Bx,398685.0
7,2019-01-02,M,2671293.0
8,2019-01-02,Q,715476.0
9,2019-01-02,SI,14197.0
10,2019-01-03,Bk,1151638.0
11,2019-01-03,Bx,426496.0
12,2019-01-03,M,2956724.0
13,2019-01-03,Q,762842.0
14,2019-01-03,SI,15723.0
15,2019-01-04,Bk,1141215.0
16,2019-01-04,Bx,436417.0
17,2019-01-04,M,2941568.0
18,2019-01-04,Q,752583.0
19,2019-01-04,SI,14843.0
20,2019-01-05,Bk,642298.0
21,2019-01-05,Bx,220773.0
22,2019-01-05,M,1588690.0
23,2019-01-05,Q,409413.0
24,2019-01-05,SI,5093.0
25,2019-01-06,Bk,549760.0
26,2019-01-06,Bx,182827.0
27,2019-01-06,M,1284363.0
28,2019-01-06,Q,334257.0
29,2019-01-06,SI,3405.0
30,2019-01-07,Bk,1125744.0
31,2019-01-07,Bx,419072.0
32,2019-01-07,M,2707081.0
33,2019-01-07,Q,742866.0
34,2019-01-07,SI,14324.0
35,2019-01-08,Bk,1167425.0
36,2019-01-08,Bx,429384.0
37,2019-01-08,M,2931457.0
38,2019-01-08,Q,765759.0
39,2019-01-08,SI,15453.0
40,2019-01-09,Bk,1192792.0
41,2019-01-09,Bx,441331.0
42,2019-01-09,M,3027410.0
43,2019-01-09,Q,779309.0
44,2019-01-09,SI,15489.0
45,2019-01-10,Bk,1190806.0
46,2019-01-10,Bx,438907.0
47,2019-01-10,M,3045365.0
48,2019-01-10,Q,773265.0
49,2019-01-10,SI,15347.0
50,2019-01-11,Bk,1160974.0
51,2019-01-11,Bx,431309.0
52,2019-01-11,M,2991418.0
53,2019-01-11,Q,755138.0
54,2019-01-11,SI,14436.0
55,2019-01-12,Bk,672731.0
56,2019-01-12,Bx,233138.0
57,2019-01-12,M,1678144.0
58,2019-01-12,Q,409268.0
59,2019-01-12,SI,1798.0
60,2019-01-13,Bk,522415.0
61,2019-01-13,Bx,178578.0
62,2019-01-13,M,1242988.0
63,2019-01-13,Q,323942.0
64,2019-01-13,SI,66.0
65,2019-01-14,Bk,1127977.0
66,2019-01-14,Bx,418182.0
67,2019-01-14,M,2703601.0
68,2019-01-14,Q,731837.0
69,2019-01-14,SI,13640.0
70,2019-01-15,Bk,1192050.0
71,2019-01-15,Bx,435669.0
72,2019-01-15,M,2985344.0
73,2019-01-15,Q,770359.0
74,2019-01-15,SI,15980.0
75,2019-01-16,Bk,1201054.0
76,2019-01-16,Bx,442365.0
77,2019-01-16,M,3062950.0
78,2019-01-16,Q,775980.0
79,2019-01-16,SI,15474.0
80,2019-01-17,Bk,1207109.0
81,2019-01-17,Bx,442302.0
82,2019-01-17,M,3084757.0
83,2019-01-17,Q,781284.0
84,2019-01-17,SI,15243.0
85,2019-01-18,Bk,1157811.0
